,TSLA,AAPL,AMZN,GOOGL,FB,TWTR,MSFT,CRM,NOW,WDAY,ADBE,INTU,ANSS,SNPS,CDNS,ADSK,MA,V,AXP,DFS,CME,COST,MORN,ILMN,ISRG,HD,LRCX,AMAT,XLNX,NVDA,AMD,AVGO,MU,OLED,XBI,QQQ,MTN,NTES,TRIP,NFLX,DIS,ATVI,EA
2014-12-31,222.41,102.9405,310.35,530.66,78.02,35.87,42.3229,59.31,67.85,81.61,72.7,88.1397,82.0,43.47,18.97,60.06,83.6387,63.7341,86.9937,60.372,74.6124,126.1513,61.8805,184.58,176.3132,96.3137,74.4683,23.4238,39.3244,19.4093,2.67,93.0201,35.01,27.6609,61.3378,99.3139,83.2793,94.4252,74.66,48.8014,88.8673,19.5665,47.015
2015-01-02,219.31,101.9613,308.52,529.55,78.45,36.56,42.6054,59.24,67.38,80.41,72.34,87.2028,81.64,43.1,18.83,59.53,83.1727,64.4196,86.975,60.2522,74.1832,126.0267,62.3299,185.42,175.1898,94.9007,74.5716,23.4614,39.606,19.4867,2.69,92.5577,34.75,27.8802,61.9793,99.0157,82.6578,94.1109,74.59,49.8485,88.4522,19.547,46.87
2015-01-05,210.09,99.0889,302.19,519.46,77.19,36.38,42.208999999999996,58.17,67.15,80.01,71.98,86.8586,80.855,42.54,18.4,58.66,80.8332,62.9976,84.6749,58.9063,74.604,124.5939,61.4119,190.72,171.4565,92.9097,73.6611,22.7094,38.8747,19.1576,2.66,91.0781,33.775,27.3519,62.1734,97.5633,82.2832,94.6729,72.73,47.3114,87.1596,19.2751,46.57
2015-01-06,211.28,99.0982,295.29,506.64,76.15,38.76,41.593999999999994,57.2,66.33,79.42,70.53,84.1911,79.26,42.16,17.91,57.5,80.6585,62.5916,82.8703,57.5235,73.4636,126.2403,59.9966,188.31,173.2632,92.6252,72.4316,21.8541,38.316,18.5767,2.63,89.0067,32.87,26.9432,60.6273,96.2551,80.6017,96.292,70.01,46.5014,86.6973,18.9159,45.96
2015-01-07,210.95,100.4878,298.42,505.15,76.15,37.28,42.1225,56.93,67.09,79.35,71.11,85.0134,79.71,42.21,18.42,57.38,81.9107,63.4302,84.6749,58.3808,74.3179,128.4385,60.1688,194.92,174.2132,95.7999,72.807,22.0561,38.3297,18.5235,2.58,91.411,32.1,27.6609,63.0517,97.4959,81.4059,97.7397,70.84,46.7428,87.5841,18.5032,46.81
2015-01-08,210.615,104.3487,300.46,506.91,78.175,39.09,43.3617,58.59,68.89,82.78,72.915,86.1543,81.655,42.86,18.61,58.8,83.1848,64.281,85.8752,59.3211,74.6629,129.542,61.8857,196.82,177.6665,97.9194,74.6936,22.7611,39.1836,19.2253,2.61,95.9793,33.67,28.0497,64.4498,99.36200000000001,82.4568,98.2207,73.26,47.7792,88.4899,18.6925,48.125
2015-01-09,206.66,104.4607,296.93,500.72,77.74,40.17,42.9972,58.16,67.11,82.6,71.84,84.3422,80.76,42.93,18.55,58.27,82.1247,63.3282,84.7874,58.3716,74.7303,127.5485,61.0992,194.8,173.6232,96.2403,74.8344,22.7846,39.1518,19.3028,2.63,97.0011,33.525,29.0066,64.4991,98.7079,81.68,98.6541,74.53,47.0414,88.9239,18.3527,47.51
2015-01-12,202.21,101.8867,291.41,497.06,76.72,39.37,42.4596,57.73,68.19,83.49,71.12,83.1438,79.92,42.5,18.36,57.29,81.0743,63.2042,83.9247,58.095,73.7371,126.8366,60.983999999999995,190.1,175.1698,95.8091,72.563,22.2394,38.5795,19.0608,2.63,95.3967,31.66,28.6876,65.111,97.6787,82.7035,99.0636,71.45,45.5471,89.12200000000001,18.3138,47.06
2015-01-13,204.25,102.7913,294.74,501.8,76.45,39.65,42.2364,57.97,67.27,83.85,70.59,82.7507,80.63,42.4,18.43,57.34,81.2591,63.3889,83.6716,57.5604,73.3331,125.5639,61.3485,185.09,173.8865,95.176,71.859,21.9293,38.0117,19.0269,2.66,94.8603,30.835,28.5481,64.6307,97.6498,84.0469,99.8827,71.47,46.2557,89.8108,18.0225,46.42
2015-01-14,192.69,102.3996,293.27,505.93,76.28,39.85,41.8719,57.25,66.34,81.01,69.99,82.67399999999999,80.72,42.23,18.255,56.41,81.1716,62.1201,81.6461,56.3435,71.5488,123.9798,61.0128,182.41,178.4532,94.1759,71.3804,21.6379,37.5803,19.1092,2.63,95.6094,30.05,27.4715,65.634,97.1112,82.9686,99.8732,69.73,46.32,88.905,18.3818,46.9
